"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"XXII","22nd Century Group, Inc","1.2","$85.16M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii"
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.53","$1.21B","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax"
"IAF","Aberdeen Australia Equity Fund Inc","5.04","$115.29M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf"
"CH","Aberdeen Chile Fund, Inc.","5.63","$52.85M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch"
"ABE","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","10.41","$101.34M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe           "
"FCO","Aberdeen Global Income Fund, Inc.","7.65","$67.66M","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco"
"IF","Aberdeen Indonesia Fund, Inc.","5.58","$52.93M","1990","n/a","n/a","http://www.nasdaq.com/symbol/if"
"ISL","Aberdeen Israel Fund, Inc.","16.85","$68.03M","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl"
"ACU","Acme United Corporation.","13.75","$46.35M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu"
"AIII","ACRE Realty Investors, Inc.","1.246","$25M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii"
"ATNM","Actinium Pharmaceuticals, Inc.","1.97","$82.77M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm"
"AE","Adams Resources & Energy, Inc.","34.66","$146.18M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae"
"ADK","Adcare Health Systems Inc","2.08","$41.4M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk"
"ADK^A","Adcare Health Systems Inc","19.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a"
"ACY","AeroCentury Corp.","11.64","$17.96M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy"
"WGA","AG&E Holdings, Inc.","0.4421","$5.16M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga"
"AIRI","Air Industries Group","6.6365","$50.17M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi"
"AA^","Alcoa Inc.","84.9","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^"
"AXU","Alexco Resource Corp","0.46","$35.58M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu"
"AAU","Almaden Minerals, Ltd.","0.6497","$50.72M","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau"
"APT","Alpha Pro Tech, Ltd.","1.6504","$29.97M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt"
"AAMC","Altisource Asset Management Corp","16.03","$35.48M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc"
"DIT","AMCON Distributing Company","76.5","$46.61M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit"
"ADGE","American DG Energy Inc.","0.37","$18.75M","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/adge"
"AFCO","American Farmland Company","6.25","$105.57M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/afco"
"ALN","American Lorain Corporation","1.18","$45.15M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln"
"AMS","American Shared Hospital Services","1.81","$9.71M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams"
"AMPE","Ampio Pharmaceuticals, Inc.","2.1","$109.2M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe"
"APHB","AmpliPhi Biosciences Corporation","3.53","$20.77M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aphb"
"AXN","Aoxing Pharmaceutical Company, Inc.","1.05","$78.01M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn"
"AMCO","Armco Metals Holdings, Inc.","0.265","$2.16M","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco"
"HRT","Arrhythmia Research Technology Inc.","4.3658","$12.19M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt"
"AKG","Asanko Gold Inc.","1.68","$330.95M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg"
"AINC","Ashford Inc.","42.06","$84.54M","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc"
"ASB.WS","Associated Banc-Corp","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb.ws"
"AST","Asterias Biotherapeutics, Inc.","3.24","$121.96M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast"
"AWX","Avalon Holdings Corporation","1.75","$6.66M","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx"
"ASM","Avino Silver","0.89","$33.36M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm"
"BTG","B2Gold Corp","0.8448","$783.19M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg"
"BTN","Ballantyne Strong, Inc","4.268","$60.45M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn"
"BKJ","Bancorp of New Jersey, Inc","10.66","$66.52M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj"
"BCV","Bancroft Fund Limited","16.6044","$84.8M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv"
"BAA","BANRO CORPORATION","0.191","$48.16M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa"
"BHB","Bar Harbor Bankshares, Inc.","31.45","$188.61M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb"
"BRN","Barnwell Industries, Inc.","1.65","$13.66M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn"
"BGSF","BG Staffing Inc","12.819","$94.6M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf"
"BPMX","BioPharmX Corporation","1.59","$33.53M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bpmx"
"BTX","BioTime, Inc.","2.19","$207.82M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx"
"BTX.WS","BioTime, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btx.ws"
"BGI","Birks Group Inc.","0.2678","$4.81M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi"
"BZM","BlackRock Maryland Municipal Bond Trust","15.25","$31.67M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm"
"MHE","BlackRock Massachusetts Tax-Exempt Trust","14.05","$33.24M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe"
"BLE","BlackRock Municipal Income Trust II","15.53","$364.5M","2002","n/a","n/a","http://www.nasdaq.com/symbol/ble"
"BLJ","Blackrock New Jersey Municipal Bond Trust","15.81","$36.76M","2002","n/a","n/a","http://www.nasdaq.com/symbol/blj"
"BFY","BlackRock New York Municipal Income Trust II","15.6","$77.98M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bfy"
"BHV","BlackRock Virginia Municipal Bond Trust","19.5","$31.08M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bhv"
"BDR","Blonder Tongue Laboratories, Inc.","0.42","$2.75M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr"
"BRG","Bluerock Residential Growth REIT, Inc.","9.88","$193.21M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg"
"BRG^A","Bluerock Residential Growth REIT, Inc.","25.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^a"
"BVX","Bovie Medical Corporation","2.02","$54.93M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx"
"BWL.A","Bowl America, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bwl.a"
"BTI","British American Tobacco p.l.c.","108.31","$100.96B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti"
"CANF","Can-Fite Biopharma Ltd","2.1683","$23.11M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/canf"
"ROX","Castle Brands, Inc.","1.01","$161.63M","2006","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/rox"
"CAW","CCA Industries, Inc.","3.4","$23.82M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw"
"CVM","Cel-Sci Corporation","0.4611","$59.93M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm"
"CVM.WS","Cel-Sci Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cvm.ws"
"CEF","Central Fund of Canada Limited","11.47","$2.92B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cef"
"CET","Central Securities Corporation","17.55","$426.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cet"
"LEU","Centrus Energy Corp.","1.44","$12.96M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/leu"
"CCF","Chase Corporation","50.27","$464.02M","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ccf"
"CQH","Cheniere Energy Partners LP Holdings, LLC","13.9","$3.22B","2013","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqh"
"CQP","Cheniere Energy Partners, LP","21.87","$7.39B","2007","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqp"
"LNG","Cheniere Energy, Inc.","25.03","$5.91B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng"
"CVR","Chicago Rivet & Machine Co.","24.225","$23.4M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr"
"CNR","China Metro-Rural Holdings Limited","0.88","$64.72M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr"
"CPHI","China Pharma Holdings, Inc.","0.1384","$6.03M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi"
"CKX","CKX Lands, Inc.","9.75","$18.94M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx"
"GLV","Clough Global Allocation Fund","11.35","$117.96M","2004","n/a","n/a","http://www.nasdaq.com/symbol/glv"
"GLQ","Clough Global Equity Fund","10.62","$187.48M","2005","n/a","n/a","http://www.nasdaq.com/symbol/glq"
"GLO","Clough Global Opportunities Fund","9.25","$477.06M","2006","n/a","n/a","http://www.nasdaq.com/symbol/glo"
"MOC","Command Security Corporation","2.48","$24.29M","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc"
"CIX","CompX International Inc.","10.49","$130.19M","1998","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix"
"LODE","Comstock Mining, Inc.","0.4935","$74.99M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode"
"CTO","Consolidated-Tomoka Land Co.","44.5","$264.53M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto"
"MCF","Contango Oil & Gas Company","6.16","$119.52M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf"
"CUO","Continental Materials Corporation","11.9","$19.78M","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo"
"CMT","Core Molding Technologies Inc","10.6","$81.74M","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/cmt"
"CVRS","Corindus Vascular Robotics, Inc.","1.9","$225.28M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cvrs"
"CRMD","CorMedix Inc","1.6","$56.6M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd"
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","14.44","$66.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crf"
"CLM","Cornerstone Strategic Value Fund, Inc.","13.78","$290.22M","1987","n/a","n/a","http://www.nasdaq.com/symbol/clm"
"CVU","CPI Aerostructures, Inc.","8.68","$74.45M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu"
"CIK","Credit Suisse Asset Management Income Fund, Inc.","2.6601","$139.01M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cik"
"DHY","Credit Suisse High Yield Bond Fund","2.04","$203.81M","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhy"
"CRHM","CRH Medical Corporation","2.57","$183M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crhm"
"CRVP","Crystal Rock Holdings, Inc.","0.9201","$19.65M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/crvp"
"CVSL","CVSL Inc.","0.94","$32.31M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cvsl"
"DAKP","Dakota Plains Holdings, Inc.","0.16","$8.81M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/dakp"
"DXR","Daxor Corporation","7.797","$30.13M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr"
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","14.73","$71.25M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vcf"
"VFL","Delaware Investments Florida Insured Municipal Income Fund","13.62","$61.68M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vfl"
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","13.99","$160.95M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vmm"
"DLA","Delta Apparel, Inc.","12.43","$96.3M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dla"
"DNN","Denison Mine Corp","0.4521","$234.39M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn"
"DGSE","DGSE Companies, Inc.","0.4201","$5.17M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse"
"DPW","Digital Power Corporation","0.49","$3.32M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw"
"DSS","Document Security Systems, Inc.","0.16","$8.28M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/dss"
"DMF","Dreyfus Municipal Income, Inc.","9.54","$197.7M","1988","n/a","n/a","http://www.nasdaq.com/symbol/dmf"
"DXI","DXI Energy Inc.","0.19","$6.94M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dxi"
"GRF","Eagle Capital Growth Fund, Inc.","7.2473","$22.65M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf"
"ESTE","Earthstone Energy, Inc.","11.75","$162.56M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este"
"EVM","Eaton Vance California Municipal Bond Fund","12.8","$273.81M","2002","n/a","n/a","http://www.nasdaq.com/symbol/evm"
"EIA","Eaton Vance California Municipal Bond Fund II","13.03","$50.63M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eia"
"CEV","Eaton Vance California Municipal Income Trust","13.73","$99.61M","1999","n/a","n/a","http://www.nasdaq.com/symbol/cev"
"EVV","Eaton Vance Limited Duration Income Fund","12.23","$1.42B","2003","n/a","n/a","http://www.nasdaq.com/symbol/evv"
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","14.96","$26.46M","2002","n/a","n/a","http://www.nasdaq.com/symbol/mab"
"MMV","Eaton Vance Massachusetts Municipal Income Trust","14.4","$39.41M","1999","n/a","n/a","http://www.nasdaq.com/symbol/mmv"
"MIW","Eaton Vance Michigan Municipal Bond Fund","14.49","$21.74M","2002","n/a","n/a","http://www.nasdaq.com/symbol/miw"
"EMI","Eaton Vance Michigan Municipal Income Trust","13.41","$26.99M","1999","n/a","n/a","http://www.nasdaq.com/symbol/emi"
"EIM","Eaton Vance Municipal Bond Fund","13.19","$899.14M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eim"
"EIV","Eaton Vance Municipal Bond Fund II","13.43","$134.48M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eiv"
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","14.032","$36.19M","2002","n/a","n/a","http://www.nasdaq.com/symbol/emj"
"EVJ","Eaton Vance New Jersey Municipal Income Trust","12.7","$58.4M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evj"
"ENX","Eaton Vance New York Municipal Bond Fund","13.19","$206.54M","2002","n/a","n/a","http://www.nasdaq.com/symbol/enx"
"NYH","Eaton Vance New York Municipal Bond Fund II","12.7899","$32.69M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nyh"
"EVY","Eaton Vance New York Municipal Income Trust","14.02","$76.76M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evy"
"EIO","Eaton Vance Ohio Municipal Bond Fund","14.2013","$36.03M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eio"
